,ACET,Acetone
0,ACN,Acetonitrile
1,Ambient,Room Temperature
2,APCI,Atmospheric Pressure Chemical Ionization
3,BP,Bioanalytical Procedure
4,Â°C,Degree Celsius
5,CAD,Collisionally Activated Dissociation
6,Conc.,Concentration
7,DMSO,Dimethyl Sulfoxide
8,EDTA,Ethylenediamine tetra-acetic acid
9,FA,Formic Acid
10,GLP,Good Laboratory Practice
11,GS,Gas Source (for MS)
12,H2O,Water
13,HPLC,High Performance Liquid Chromatography
14,IPA,Isopropanol
15,"IS, ISTD",Internal Standard
16,ISV,Ion Spray Voltage
17,L,Volume Expressed in Liters
18,LC-MS/MS,Liquid chromatography coupled to tandem mass spectrometer
19,LLQ/LLOQ,Lower Limit of Quantitation
20,MeOH,Methanol
21,mg,Weight expressed in milligrams
22,min,Time expressed in minutes
23,mL,Volume expressed in milliliters
24,MRL,Merck Research Laboratories
25,MRM,Multiple Reaction Monitoring
26,MS,Mass Spectrometer
27,MTBE,Methyl Tert Butyl Ether
28,N2,Nitrogen
29,"N/A, NA",Not Applicable
30,NDS,Nonclinical Drug Safety
31,PA,Propionic Acid
32,PBMC,Peripheral Blood Mononuclear Cells
33,PCD,Preclinical Development
34,PN,Part Number
35,PPDM,"Pharmacokinetics, Pharmacodynamics, and Drug Metabolism"
36,QC,Quality Control Sample
